Skill,Count,Percentage
Communication,289,63.2%
Problem Solving,171,37.4%
Documentation,160,35.0%
Reporting,128,28.0%
Collaboration,115,25.2%
Excel,111,24.3%
Innovation,108,23.6%
Leadership,108,23.6%
Organization,85,18.6%
SQL,83,18.2%
Project Management,80,17.5%
Decision Making,76,16.6%
Proactive,73,16.0%
User Stories,72,15.8%
Data Analysis,68,14.9%
Attention to Detail,65,14.2%
Power BI,64,14.0%
JIRA,64,14.0%
Metrics,62,13.6%
Sales,58,12.7%
Integrity,53,11.6%
Stakeholder Management,51,11.2%
Dashboards,49,10.7%
Flexibility,44,9.6%
Scrum,42,9.2%
Coaching,40,8.8%
Influence,40,8.8%
Six Sigma,39,8.5%
Confluence,39,8.5%
PowerPoint,38,8.3%
