Skill,Count,Percentage
Communication,820,64.4%
Excel,679,53.3%
Reporting,662,52.0%
Forecasting,357,28.0%
Decision Making,352,27.6%
Problem Solving,341,26.8%
Attention to Detail,321,25.2%
Financial Analysis,315,24.7%
Collaboration,276,21.7%
Organization,275,21.6%
Leadership,270,21.2%
Proactive,266,20.9%
Innovation,262,20.6%
Documentation,231,18.1%
Sales,215,16.9%
Integrity,195,15.3%
PowerPoint,190,14.9%
Flexibility,167,13.1%
Metrics,166,13.0%
ERP,162,12.7%
Marketing,161,12.6%
Dashboards,158,12.4%
Interpersonal Skills,150,11.8%
SAP,138,10.8%
Power BI,135,10.6%
Influence,122,9.6%
Data Analysis,112,8.8%
Presentation Skills,111,8.7%
SQL,111,8.7%
Word,93,7.3%
