Skill,Count,Percentage
Communication,305,63.0%
Reporting,188,38.8%
Documentation,183,37.8%
SQL,159,32.9%
Problem Solving,158,32.6%
Excel,152,31.4%
Data Analysis,119,24.6%
Dashboards,116,24.0%
Collaboration,113,23.3%
Power BI,108,22.3%
Decision Making,106,21.9%
Organization,85,17.6%
Metrics,83,17.1%
Integrity,82,16.9%
User Stories,80,16.5%
Attention to Detail,79,16.3%
Leadership,78,16.1%
Innovation,76,15.7%
Proactive,72,14.9%
Project Management,68,14.0%
Tableau,65,13.4%
Stakeholder Management,59,12.2%
Requirements Gathering,54,11.2%
Scrum,53,11.0%
Sales,51,10.5%
Change Management,49,10.1%
Data Governance,47,9.7%
Data Quality,47,9.7%
Python,45,9.3%
Acceptance Criteria,44,9.1%
