Skill,Count,Percentage
Communication,338,61.7%
Reporting,296,54.0%
Excel,178,32.5%
SQL,175,31.9%
Dashboards,152,27.7%
Documentation,149,27.2%
Innovation,139,25.4%
Collaboration,133,24.3%
Decision Making,133,24.3%
Problem Solving,131,23.9%
Organization,117,21.4%
Data Analysis,115,21.0%
Power BI,113,20.6%
Attention to Detail,101,18.4%
Leadership,98,17.9%
Python,89,16.2%
Proactive,89,16.2%
Sales,84,15.3%
Metrics,83,15.1%
Tableau,78,14.2%
Integrity,77,14.1%
Marketing,77,14.1%
Project Management,74,13.5%
Flexibility,64,11.7%
Business Intelligence,61,11.1%
User Stories,58,10.6%
Data Visualization,56,10.2%
Stakeholder Management,53,9.7%
Data Quality,52,9.5%
Forecasting,48,8.8%
