Skill,Count,Percentage
Communication,631,63.4%
Sales,364,36.5%
Reporting,355,35.6%
Excel,335,33.6%
Problem Solving,305,30.6%
Collaboration,252,25.3%
Documentation,232,23.3%
Innovation,220,22.1%
Leadership,211,21.2%
Marketing,204,20.5%
Organization,187,18.8%
Decision Making,187,18.8%
Proactive,186,18.7%
Attention to Detail,182,18.3%
SQL,179,18.0%
Data Analysis,171,17.2%
Dashboards,154,15.5%
Power BI,138,13.9%
Metrics,138,13.9%
Project Management,132,13.3%
Forecasting,124,12.4%
Integrity,111,11.1%
PowerPoint,109,10.9%
User Stories,102,10.2%
Flexibility,99,9.9%
JIRA,91,9.1%
Stakeholder Management,90,9.0%
Salesforce,88,8.8%
Influence,87,8.7%
Tableau,86,8.6%
