Skill,Count,Percentage
SQL,1167,65.9%
Communication,900,50.8%
Python,884,49.9%
Dashboards,805,45.5%
Data Analysis,767,43.3%
Reporting,738,41.7%
Power BI,715,40.4%
AI & Machine Learning,529,29.9%
Tableau,527,29.8%
Excel,520,29.4%
Problem Solving,508,28.7%
Decision Making,481,27.2%
Statistics,465,26.3%
Collaboration,440,24.8%
Innovation,363,20.5%
Data Science,360,20.3%
Metrics,359,20.3%
Marketing,358,20.2%
Data Pipelines,357,20.2%
Computer Science,354,20.0%
Data Quality,349,19.7%
Data Visualization,345,19.5%
Organization,326,18.4%
Attention to Detail,323,18.2%
Business Intelligence,295,16.7%
KPI,278,15.7%
ETL,277,15.6%
Documentation,256,14.5%
Integrity,255,14.4%
Azure,234,13.2%
Leadership,229,12.9%
Proactive,229,12.9%
Mathematics,223,12.6%
Sales,215,12.1%
Looker,210,11.9%
SOLID Principles,208,11.7%
Compliance Management,205,11.6%
Data Engineering,201,11.3%
Flexibility,195,11.0%
Influence,179,10.1%
Data Modeling,166,9.4%
Agile Methodology,156,8.8%
Snowflake,156,8.8%
Intellectual Curiosity,155,8.8%
Amazon Web Services (AWS),148,8.4%
Data Governance,148,8.4%
Databricks,140,7.9%
Dbt,132,7.5%
Ad-hoc Analysis,130,7.3%
BigQuery,127,7.2%
