Skill,Count,Percentage
Communication,3,100.0%
Machine Learning,3,100.0%
Attention to Detail,2,66.7%
Computer Science,2,66.7%
Hypertext Transfer Protocol,2,66.7%
Artificial Intelligence,1,33.3%
Chatgpt,1,33.3%
Continuous Integration Continuous Deployment,1,33.3%
Continuous Integration/Continuous Deployment,1,33.3%
Data Science,1,33.3%
Deep Learning,1,33.3%
Git,1,33.3%
Graphics Processing Unit,1,33.3%
Hugging Face,1,33.3%
Jax,1,33.3%
Large Language Model,1,33.3%
Large Language Models,1,33.3%
Model Monitoring,1,33.3%
Model Training,1,33.3%
Openai,1,33.3%
PyTorch,1,33.3%
TensorFlow,1,33.3%
