Skill,Count,Percentage
Computer Vision,9,100.0%
Python,8,88.9%
Deep Learning,6,66.7%
Machine Learning,6,66.7%
Computer Science,6,66.7%
PyTorch,5,55.6%
Communication,5,55.6%
Problem Solving,5,55.6%
TensorFlow,4,44.4%
Artificial Intelligence,4,44.4%
Collaboration,4,44.4%
Docker,3,33.3%
Kubernetes,3,33.3%
Innovation,3,33.3%
AI/ML,2,22.2%
Amazon Web Services,2,22.2%
Attention to Detail,2,22.2%
Make,2,22.2%
Data Analysis,1,11.1%
Graphics Processing Unit,1,11.1%
Model Evaluation,1,11.1%
Creativity,1,11.1%
Hypertext Transfer Protocol,1,11.1%
Data Quality,1,11.1%
Teamwork,1,11.1%
Code Review,1,11.1%
Data Science,1,11.1%
Flexibility,1,11.1%
Forecasting,1,11.1%
Git,1,11.1%
Resilience,1,11.1%
Statistics,1,11.1%
Classification,1,11.1%
Mathematics,1,11.1%
Ansible,1,11.1%
Azure,1,11.1%
Azure Functions,1,11.1%
Azure Kubernetes Service,1,11.1%
Azure Openai,1,11.1%
Azure Storage,1,11.1%
Continuous Integration Continuous Deployment,1,11.1%
Continuous Integration/Continuous Deployment,1,11.1%
DevOps,1,11.1%
GitLab,1,11.1%
Google Cloud Platform,1,11.1%
Google Cloud Professional,1,11.1%
Grafana,1,11.1%
Linux,1,11.1%
NoSQL Database,1,11.1%
Structured Query Language,1,11.1%
