Skill,Count,Percentage
Structured Query Language,31,88.6%
Azure,25,71.4%
Azure Functions,25,71.4%
Azure Kubernetes Service,25,71.4%
Azure Openai,25,71.4%
Azure Storage,25,71.4%
Python,21,60.0%
Application Programming Interface,17,48.6%
NoSQL Database,17,48.6%
Data Pipelines,15,42.9%
Data Lakes,15,42.9%
Embeddings,15,42.9%
Fine-tuning,15,42.9%
Openai,15,42.9%
Amazon Web Services,14,40.0%
Serverless,14,40.0%
Data Engineering,13,37.1%
Google Cloud Platform,11,31.4%
Google Cloud Professional,11,31.4%
Continuous Integration Continuous Deployment,9,25.7%
Continuous Integration/Continuous Deployment,9,25.7%
Extract Transform Load,7,20.0%
Machine Learning,7,20.0%
Communication,6,17.1%
Docker,6,17.1%
Kubernetes,6,17.1%
Data Science,6,17.1%
Collaboration,5,14.3%
Computer Science,5,14.3%
Extract Load Transform,5,14.3%
Infrastructure as Code,5,14.3%
Pyspark,5,14.3%
Terraform,5,14.3%
TensorFlow,5,14.3%
AI/ML,4,11.4%
Apache Spark,4,11.4%
Databricks,4,11.4%
DevOps,4,11.4%
Innovation,4,11.4%
Jenkins,4,11.4%
Cloud Platforms,4,11.4%
Dashboards,4,11.4%
PostgreSQL,4,11.4%
Make,4,11.4%
PyTorch,4,11.4%
Large Language Models,4,11.4%
Data Quality,3,8.6%
GitHub,3,8.6%
Coaching,3,8.6%
Java,3,8.6%
