Skill,Count,Percentage
Python,144,91.1%
Data Science,109,69.0%
Machine Learning,107,67.7%
Structured Query Language,92,58.2%
Communication,60,38.0%
Statistics,57,36.1%
Computer Science,55,34.8%
Make,53,33.5%
Azure,48,30.4%
Azure Functions,48,30.4%
Azure Kubernetes Service,48,30.4%
Azure Openai,48,30.4%
Azure Storage,48,30.4%
Amazon Web Services,45,28.5%
Mathematics,42,26.6%
Innovation,40,25.3%
Collaboration,37,23.4%
Problem Solving,36,22.8%
Deep Learning,34,21.5%
Git,34,21.5%
Google Cloud Platform,34,21.5%
Pandas,33,20.9%
Decision Making,31,19.6%
Scikit-Learn,31,19.6%
TensorFlow,31,19.6%
Google Cloud Professional,31,19.6%
Data Analysis,30,19.0%
PyTorch,30,19.0%
Organization,29,18.4%
Power BI,27,17.1%
MLOps,27,17.1%
Natural Language Processing,26,16.5%
Databricks,25,15.8%
Tableau,24,15.2%
Forecasting,23,14.6%
Reporting,23,14.6%
Data Engineering,23,14.6%
Big Data,22,13.9%
Data Visualization,22,13.9%
NumPy,22,13.9%
Dashboards,21,13.3%
Data Pipelines,19,12.0%
Continuous Integration Continuous Deployment,19,12.0%
Continuous Integration/Continuous Deployment,19,12.0%
Docker,18,11.4%
Flexibility,17,10.8%
Leadership,16,10.1%
Classification,16,10.1%
Marketing,16,10.1%
Documentation,16,10.1%
