Skill,Count,Percentage
Machine Learning,22,75.9%
Computer Science,19,65.5%
Deep Learning,15,51.7%
Fine-tuning,13,44.8%
PyTorch,11,37.9%
Python,11,37.9%
Docker,10,34.5%
Documentation,10,34.5%
Hypertext Transfer Protocol,10,34.5%
Large Language Models,10,34.5%
Natural Language Processing,10,34.5%
Make,9,31.0%
Mathematics,9,31.0%
Retrieval Augmented Generation,9,31.0%
TensorFlow,8,27.6%
Embeddings,8,27.6%
Statistics,8,27.6%
Vector Databases,8,27.6%
Innovation,8,27.6%
Computer Vision,6,20.7%
Jax,6,20.7%
Reinforcement Learning,6,20.7%
Communication,5,17.2%
Collaboration,5,17.2%
Data Science,4,13.8%
Transformers,4,13.8%
Google Cloud Platform,3,10.3%
Google Cloud Professional,3,10.3%
Kubernetes,3,10.3%
Leadership,3,10.3%
Organization,3,10.3%
User Experience,3,10.3%
AI/ML,3,10.3%
Data Analysis,3,10.3%
Hugging Face,3,10.3%
Time Series Analysis,3,10.3%
Flexibility,3,10.3%
Keras,2,6.9%
Neural Networks,2,6.9%
Snowflake,2,6.9%
Streamlit,2,6.9%
Azure,2,6.9%
Azure Functions,2,6.9%
Azure Kubernetes Service,2,6.9%
Azure Openai,2,6.9%
Azure Storage,2,6.9%
Data Engineering,2,6.9%
Data Pipelines,2,6.9%
Extract Transform Load,2,6.9%
MLOps,2,6.9%
