Skill,Count,Percentage
Machine Learning,5,100.0%
Communication,3,60.0%
Deep Learning,3,60.0%
Pytorch,3,60.0%
Tensorflow,3,60.0%
Attention to Detail,2,40.0%
Computer Science,2,40.0%
Hypertext Transfer Protocol,2,40.0%
Chatgpt,2,40.0%
Data Science,2,40.0%
Git,2,40.0%
Jax,2,40.0%
Openai,2,40.0%
AI,2,40.0%
LLM,2,40.0%
Artificial Intelligence,1,20.0%
Continuous Integration Continuous Deployment,1,20.0%
Continuous Integration/Continuous Deployment,1,20.0%
Graphics Processing Unit,1,20.0%
Hugging Face,1,20.0%
Large Language Model,1,20.0%
Large Language Models,1,20.0%
Model Monitoring,1,20.0%
Model Training,1,20.0%
CD,1,20.0%
CI,1,20.0%
CI/CD,1,20.0%
GPU,1,20.0%
R,1,20.0%
RL,1,20.0%
Cnns,1,20.0%
Computer Vision,1,20.0%
Natural Language Processing,1,20.0%
Neural Networks,1,20.0%
Python,1,20.0%
Transformers,1,20.0%
