Skill,Count,Percentage
Python,19,70.4%
SQL,13,48.1%
Dbt,12,44.4%
Tableau,11,40.7%
Data Science,10,37.0%
AI,10,37.0%
Machine Learning,9,33.3%
Snowflake,9,33.3%
BI,9,33.3%
Structured Query Language,8,29.6%
Git,8,29.6%
Problem Solving,7,25.9%
Communication,6,22.2%
Dashboards,6,22.2%
Mathematics,6,22.2%
ETL,6,22.2%
Azure,5,18.5%
Azure Functions,5,18.5%
Azure Kubernetes Service,5,18.5%
Azure Openai,5,18.5%
Azure Storage,5,18.5%
Power BI,5,18.5%
Statistics,5,18.5%
Marketing,5,18.5%
Reporting,5,18.5%
Data Engineering,4,14.8%
Decision Making,4,14.8%
Aws Bedrock,4,14.8%
Computer Science,3,11.1%
Data Quality,3,11.1%
Marketing Analytics,3,11.1%
Sales,3,11.1%
Innovation,3,11.1%
Looker,3,11.1%
Bigquery,3,11.1%
AWS,3,11.1%
Aws Cloud Services,3,11.1%
Aws Codepipeline,3,11.1%
Aws Lambda,3,11.1%
Aws Sagemaker,3,11.1%
Amazon Web Services,2,7.4%
Apache Spark,2,7.4%
Classification,2,7.4%
Clustering,2,7.4%
Data Pipelines,2,7.4%
React,2,7.4%
React Native,2,7.4%
Collaboration,2,7.4%
DevOps,2,7.4%
Documentation,2,7.4%
