Skill,Count,Percentage
Python,46,65.7%
Azure,41,58.6%
Azure Functions,41,58.6%
Azure Kubernetes Service,41,58.6%
Azure Openai,41,58.6%
Azure Storage,41,58.6%
Structured Query Language,31,44.3%
AI,29,41.4%
Machine Learning,26,37.1%
Google Cloud Platform,25,35.7%
SQL,21,30.0%
Openai,18,25.7%
AWS,18,25.7%
Aws Bedrock,18,25.7%
Aws Cloud Services,18,25.7%
Aws Codepipeline,18,25.7%
Aws Lambda,18,25.7%
Aws Sagemaker,18,25.7%
Application Programming Interface,17,24.3%
NoSQL Database,17,24.3%
Apache Spark,16,22.9%
Serverless,16,22.9%
Data Pipelines,15,21.4%
Data Lakes,15,21.4%
Embeddings,15,21.4%
Fine-tuning,15,21.4%
Amazon Web Services,14,20.0%
Databricks,14,20.0%
ETL,14,20.0%
Data Engineering,13,18.6%
Data Science,13,18.6%
Dbt,13,18.6%
Pyspark,11,15.7%
Docker,11,15.7%
Google Cloud Professional,11,15.7%
Java,10,14.3%
Continuous Integration Continuous Deployment,9,12.9%
Continuous Integration/Continuous Deployment,9,12.9%
DevOps,9,12.9%
Terraform,9,12.9%
Snowflake,9,12.9%
Golang,9,12.9%
Kubernetes,8,11.4%
Scala,8,11.4%
Computer Vision,8,11.4%
Bigquery,8,11.4%
Extract Transform Load,7,10.0%
PostgreSQL,7,10.0%
TensorFlow,7,10.0%
LangChain,7,10.0%
