Skill,Count,Percentage
Python,368,90.0%
Machine Learning,322,78.7%
Data Science,301,73.6%
SQL,150,36.7%
AI,149,36.4%
Azure,118,28.9%
Azure Functions,118,28.9%
Azure Kubernetes Service,118,28.9%
Azure Openai,118,28.9%
Azure Storage,118,28.9%
Tensorflow,104,25.4%
Pytorch,98,24.0%
R,98,24.0%
Pandas,95,23.2%
Scikit-Learn,95,23.2%
Structured Query Language,92,22.5%
Deep Learning,92,22.5%
Natural Language Processing,86,21.0%
Google Cloud Platform,85,20.8%
Aws Sagemaker,78,19.1%
Aws Lambda,77,18.8%
AWS,76,18.6%
Aws Bedrock,76,18.6%
Aws Cloud Services,76,18.6%
Aws Codepipeline,76,18.6%
Tableau,67,16.4%
MLOps,67,16.4%
Apache Spark,67,16.4%
LLM,64,15.6%
Communication,60,14.7%
Git,58,14.2%
Statistics,57,13.9%
Numpy,57,13.9%
Computer Science,55,13.4%
Make,53,13.0%
Docker,53,13.0%
BI,49,12.0%
Databricks,48,11.7%
Statistical Analysis,48,11.7%
Computer Vision,46,11.2%
Amazon Web Services,45,11.0%
Mathematics,42,10.3%
Innovation,40,9.8%
API,38,9.3%
Collaboration,37,9.0%
Kubernetes,37,9.0%
Problem Solving,36,8.8%
Java,36,8.8%
LangChain,33,8.1%
Decision Making,31,7.6%
