Skill,Count,Percentage
Machine Learning,32,78.0%
Deep Learning,19,46.3%
Computer Science,19,46.3%
PyTorch,18,43.9%
Python,16,39.0%
Natural Language Processing,15,36.6%
Fine-tuning,13,31.7%
Computer Vision,11,26.8%
Docker,11,26.8%
Documentation,10,24.4%
Hypertext Transfer Protocol,10,24.4%
Large Language Models,10,24.4%
Make,9,22.0%
TensorFlow,9,22.0%
Mathematics,9,22.0%
Retrieval Augmented Generation,9,22.0%
Embeddings,8,19.5%
Statistics,8,19.5%
Vector Databases,8,19.5%
Innovation,8,19.5%
AI,8,19.5%
Jax,6,14.6%
Reinforcement Learning,6,14.6%
R,6,14.6%
GPU,6,14.6%
Communication,5,12.2%
Collaboration,5,12.2%
Data Science,5,12.2%
Transformers,5,12.2%
Google Cloud Platform,4,9.8%
Hugging Face,4,9.8%
Google Cloud Professional,3,7.3%
Kubernetes,3,7.3%
Snowflake,3,7.3%
Leadership,3,7.3%
Organization,3,7.3%
User Experience,3,7.3%
AI/ML,3,7.3%
Data Analysis,3,7.3%
Time Series Analysis,3,7.3%
Flexibility,3,7.3%
LLM,3,7.3%
Git,3,7.3%
Github,3,7.3%
Keras,2,4.9%
Neural Networks,2,4.9%
Streamlit,2,4.9%
Azure,2,4.9%
Azure Functions,2,4.9%
Azure Kubernetes Service,2,4.9%
